replicate,temp,symbiont,polyp
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
3,26,0,1
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
3,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
5,26,0,0
6,26,0,1
6,26,0,1
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
6,26,0,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
7,26,1,0
8,26,1,1
8,26,1,1
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
8,26,1,0
9,26,1,1
9,26,1,1
9,26,1,1
9,26,1,1
9,26,1,1
9,26,1,1
9,26,1,1
9,26,1,1
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
9,26,1,0
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,1
10,26,1,0
10,26,1,0
10,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
11,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
12,26,1,0
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,1
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
13,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
14,32,0,0
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,1
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
15,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
16,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
17,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
18,32,0,0
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,1
19,32,1,0
19,32,1,0
19,32,1,0
19,32,1,0
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,1
20,32,1,0
20,32,1,0
20,32,1,0
20,32,1,0
20,32,1,0
20,32,1,0
20,32,1,0
20,32,1,0
21,32,1,1
21,32,1,1
21,32,1,1
21,32,1,1
21,32,1,1
21,32,1,1
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
21,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
22,32,1,0
23,32,1,1
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
23,32,1,0
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,1
24,32,1,0
24,32,1,0
24,32,1,0
